speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,dichtbij,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,muisier,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,a,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,chauffeur,erganfer,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,muziek,muziek,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,waarom,waarom,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,u,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,scheuren,suven,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,lawaai,lawai,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,zwemmen,jammen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vuurwerk,gwerk,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vuurwerk,vuurwerk,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,appel,appel,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,sa,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,oa,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,o,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,o,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,ja,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,sola,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,cola,sola,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,kussen,kichen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,eerste,eerste,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,*s,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,circus,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,suisi,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,joren,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,kleuren,kleuren,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,voetbal,voetbal,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,vlinder,vlendur,S
