speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ola,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,kla,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,hoek,hoek,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,krant*(kraan),,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,a,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,hout,hout,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,vriend,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(friet),vi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,gauw,vrit,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ka,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,chips,ka,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ships,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ships,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,groen,ho,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,hoe,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,feest,feest,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,,ge,I
S01C001M1_1LG,(S01C001M1_1LG-words),96,reis,gijs,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,jorf,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,jas,hag,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,huis,uh,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,paard,had,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,brad,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,vijf,vijf,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,muts,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,muts,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,nieuw,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,kind,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*t,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,bang,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*x,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*x,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,i,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,nik,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,oog,ki,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ane,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,zacht*(zat),og,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(zat),at,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,schoen,zat,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,plas,goern,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,paals,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,neus,pals,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,nerkon,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,knop,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(knop),knop,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(knop),knop,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,plank*(plak),pak,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(plak),piak,S
