id,prompt,reference,hypothesis,hypothesis_rev,prompts_plus_orth,prompts_plus_hypo,prompt_aligned,prompt_aligned_rev,score,insertions,deletions,substitutions,score_rev,insertions_rev,deletions_rev,substitutions_rev
S01C002V1_3+4LG,lucifer,CORRECTLY_READ,tandan bogstel lusise luiser,lusise luiser slapkander,0,1,*************l**ucife******r,lu*****c*i***********fer,0.25,21,0,0,0.29,17,0,0
S01C002V1_3+4LG,slaapkamer,g/4/23,slapkander slaap kander,slaap kander slaapkinden,1,0,sla**a*********p*kam*er,slaap*ka*mer************,0.43,13,0,0,0.42,14,0,0
S01C002V1_3+4LG,achterdeur,13,slaapkinden acht der duur,acht der duur acterdr,1,0,**a**********cht**er*deur,acht**er*deu********r,0.4,15,0,0,0.48,11,0,0
S01C002V1_3+4LG,ziekenhuis,CORRECTLY_READ,acterdr wiekenhuis,wiekenhuis er,0,0,*z*******iekenhuis,ziekenhuis***,0.56,8,0,0,0.77,3,0,0
S01C002V1_3+4LG,nieuwsgierig,CORRECTLY_READ,er nieuw*gierig,nieuw*gierig afblijven,0,0,***nieuwsgierig,nieuwsgierig**********,0.73,3,1,0,0.5,10,1,0
S01C002V1_3+4LG,afblijven,CORRECTLY_READ,afblijven,afblijven kap pouter,0,0,afblijven,afblijven***********,1.0,0,0,0,0.45,11,0,0
S01C002V1_3+4LG,kabouter,CORRECTLY_READ,afblijven kap pouter kabouter,kabouter,0,0,**********ka***********bouter,kabouter,0.28,21,0,0,1.0,0,0,0
S01C002V1_3+4LG,washandje,CORRECTLY_READ,washandje,washandje,0,0,washandje,washandje,1.0,0,0,0,1.0,0,0,0
S01C002V1_3+4LG,sneeuwwitje,CORRECTLY_READ,washandje nee w je nevikje,washandje nee w je nevikje goeiendag,0,0,**s**n**e**eu*w*w*****itje,**s**n**e**eu*w******witj******e****,0.42,15,0,0,0.31,25,0,0
S01C002V1_3+4LG,goeiendag,CORRECTLY_READ,goeiendag,goeiendag,0,0,goeiendag,goeiendag,1.0,0,0,0,1.0,0,0,0
S01C002V1_3+4LG,vakantie,g/4/13,goeiendag waa ak uh die,waa ak uh die takendi enti e,1,1,v******ak**a***n**t**ie,v***ak*********a*******nti*e,0.35,15,0,0,0.29,20,0,0
S01C002V1_3+4LG,limonade,c/g/35,takendi enti e men vande,**men vande,1,0,l*****i********mon**a*de,limon**a*de,0.33,16,0,0,0.55,3,2,0
S01C002V1_3+4LG,autorijden,g/35,outoggeinen adornen,outoggeinen adornen eidelijk,1,0,autor**ij****d***en,auto*r*i**j**d***en*********,0.53,9,0,0,0.36,18,0,0
S01C002V1_3+4LG,eindelijk,CORRECTLY_READ,eidelijk eindelijk,eindelijk,0,0,ei*********ndelijk,eindelijk,0.5,9,0,0,1.0,0,0,0
S01C002V1_3+4LG,familie,CORRECTLY_READ,amerolifamilie,amerolifamilie o,0,0,*******familie,*******familie**,0.5,7,0,0,0.44,9,0,0
S01C002V1_3+4LG,chocolade,c/33/13/26,**o sota g o ope ad,sota g o *ope ad*,1,0,cho*cola*d*****e***,**c**h*o*col**ade,0.37,10,2,0,0.41,8,2,0
S01C006M1_1LG,klas,CORRECTLY_READ,klas,klas,0,0,klas,klas,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,mooi,CORRECTLY_READ,mooi,mooi,0,0,mooi,mooi,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,koe,CORRECTLY_READ,koe,koe,0,0,koe,koe,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,arm,CORRECTLY_READ,arm,arm,0,0,arm,arm,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,groei,CORRECTLY_READ,groei,groei,0,0,groei,groei,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,strand,CORRECTLY_READ,strand,strand,0,0,strand,strand,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,bed,CORRECTLY_READ,bed,bed,0,0,bed,bed,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,eerst,CORRECTLY_READ,eerst,eerst,0,0,eerst,eerst,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,voor,CORRECTLY_READ,voor,voor,0,0,voor,voor,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,draai,CORRECTLY_READ,draai,draai,0,0,draai,draai,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,sjaal,CORRECTLY_READ,s*aal,s*aal,0,0,sjaal,sjaal,0.8,0,1,0,0.8,0,1,0
S01C006M1_1LG,herfst,23,herfst,herfst,1,0,herfst,herfst,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,duur,CORRECTLY_READ,g**r,g**r,0,0,duur,duur,0.5,0,2,0,0.5,0,2,0
S01C006M1_1LG,straat,CORRECTLY_READ,straat,straat,0,0,straat,straat,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,leeuw,CORRECTLY_READ,n*euw,ne*uw,0,0,leeuw,leeuw,0.8,0,1,0,0.8,0,1,0
S01C006M1_1LG,clown,CORRECTLY_READ,klo*n,klo*n,0,0,clown,clown,0.8,0,1,0,0.8,0,1,0
S01C006M1_1LG,hoek,CORRECTLY_READ,hook,hook,0,0,hoek,hoek,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,krant,CORRECTLY_READ,krant,krant,0,0,krant,krant,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,hout,CORRECTLY_READ,hout,hout,0,0,hout,hout,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,vriend,CORRECTLY_READ,vriend,vriend,0,0,vriend,vriend,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,gauw,CORRECTLY_READ,gou scha,gou scha,0,0,gau*w***,gau***w*,0.5,4,0,0,0.5,4,0,0
S01C006M1_1LG,chips,CORRECTLY_READ,chips,chips,0,0,chips,chips,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,groen,CORRECTLY_READ,groen,groen,0,0,groen,groen,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,feest,CORRECTLY_READ,feest,feest,0,0,feest,feest,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,reis,CORRECTLY_READ,gareis,gareis,0,0,**reis,**reis,0.67,2,0,0,0.67,2,0,0
S01C006M1_1LG,jas,CORRECTLY_READ,jas,jas,0,0,jas,jas,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,huis,CORRECTLY_READ,huis,huis,0,0,huis,huis,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,paard,CORRECTLY_READ,paart,paart,0,0,paard,paard,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,vijf,CORRECTLY_READ,vijf,vijf,0,0,vijf,vijf,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,muts,CORRECTLY_READ,mut*,mut*,0,0,muts,muts,0.75,0,1,0,0.75,0,1,0
S01C006M1_1LG,nieuw,CORRECTLY_READ,nieuw,nieuw,0,0,nieuw,nieuw,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,kind,CORRECTLY_READ,kind,kind,0,0,kind,kind,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,bang,CORRECTLY_READ,ba*l,bal*,0,0,bang,bang,0.75,0,1,0,0.75,0,1,0
S01C006M1_1LG,oog,e/35,*hoch,hoc*h,1,1,o*og*,*o*og,0.4,2,1,0,0.4,2,1,0
S01C006M1_1LG,zacht,CORRECTLY_READ,zacht,zacht,0,0,zacht,zacht,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,schoen,CORRECTLY_READ,schoen,schoen,0,0,schoen,schoen,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,plas,CORRECTLY_READ,plas,plas,0,0,plas,plas,1.0,0,0,0,1.0,0,0,0
S01C006M1_1LG,neus,CORRECTLY_READ,n*uis,nuis,0,0,neu*s,neus,0.6,1,1,0,1.0,0,0,0
S01C006M1_1LG,knoop,CORRECTLY_READ,knoaknoop,knoaknoop,0,0,kno***o*p,****knoop,0.56,4,0,0,0.56,4,0,0
S01C006M1_1LG,plank,CORRECTLY_READ,plark,plark,0,0,plank,plank,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,water,CORRECTLY_READ,warter,warter,0,0,wa*ter,wa*ter,0.83,1,0,0,0.83,1,0,0
S01C006M1_2LG,mevrouw,CORRECTLY_READ,mevrouw,mevrouw,0,0,mevrouw,mevrouw,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,drogen,CORRECTLY_READ,drogen,drogen,0,0,drogen,drogen,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,winkel,CORRECTLY_READ,winkel,winkel,0,0,winkel,winkel,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,auto,CORRECTLY_READ,auto,auto,0,0,auto,auto,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,schouder,CORRECTLY_READ,schouders,schouders,0,0,schouder*,schouder*,0.89,1,0,0,0.89,1,0,0
S01C006M1_2LG,verhaal,CORRECTLY_READ,verhaal,verhaal,0,0,verhaal,verhaal,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,koning,CORRECTLY_READ,koning,koning,0,0,koning,koning,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,moeilijk,CORRECTLY_READ,moeilijk,moeilijk,0,0,moeilijk,moeilijk,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,speelplaats,CORRECTLY_READ,speelplaats,speelplaats,0,0,speelplaats,speelplaats,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,drinken,CORRECTLY_READ,drinken,drinken,0,0,drinken,drinken,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,hoofdpijn,CORRECTLY_READ,hoofdpijn,hoofdpijn,0,0,hoofdpijn,hoofdpijn,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,regen,CORRECTLY_READ,regen,regen,0,0,regen,regen,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,vliegtuig,CORRECTLY_READ,vliegtuig,vliegtuig,0,0,vliegtuig,vliegtuig,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,stoppen,CORRECTLY_READ,stoppen,stoppen,0,0,stoppen,stoppen,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,opnieuw,CORRECTLY_READ,opnieuw,opnieuw,0,0,opnieuw,opnieuw,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,gooien,CORRECTLY_READ,gooien,gooien,0,0,gooien,gooien,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,schreeuwen,CORRECTLY_READ,s**neeuwen,sn**eeuwen,0,0,schreeuwen,schreeuwen,0.8,0,2,0,0.8,0,2,0
S01C006M1_2LG,moeder,CORRECTLY_READ,moeder,moeder,0,0,moeder,moeder,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,liedje,CORRECTLY_READ,li**tier,litier**,0,0,liedj*e*,l**iedje,0.5,2,2,0,0.5,2,2,0
S01C006M1_2LG,potlood,g/35,protloot,protloot,1,0,p*otlood,p*otlood,0.88,1,0,0,0.88,1,0,0
S01C006M1_2LG,fietsbel,CORRECTLY_READ,vi*tsbel,vi*tsbel,0,0,fietsbel,fietsbel,0.88,0,1,0,0.88,0,1,0
S01C006M1_2LG,vinger,CORRECTLY_READ,vinger,vinger,0,0,vinger,vinger,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,dichtbij,CORRECTLY_READ,dicht bij,dicht bij,0,0,dicht*bij,dicht*bij,0.89,1,0,0,0.89,1,0,0
S01C006M1_2LG,meisje,CORRECTLY_READ,meisje,meisje sa,0,0,meisje,meisje***,1.0,0,0,0,0.67,3,0,0
S01C006M1_2LG,chauffeur,CORRECTLY_READ,sa chauffeur,chauffeur,0,0,***chauffeur,chauffeur,0.75,3,0,0,1.0,0,0,0
S01C006M1_2LG,muziek,CORRECTLY_READ,muziek,muziek,0,0,muziek,muziek,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,waarom,CORRECTLY_READ,waarom,waarom,0,0,waarom,waarom,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,scheuren,CORRECTLY_READ,scheuren,scheuren,0,0,scheuren,scheuren,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,lawaai,CORRECTLY_READ,lawaai,lawaai,0,0,lawaai,lawaai,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,zwemmen,CORRECTLY_READ,*wemmen,*wemmen va,0,0,zwemmen,zwemmen***,0.86,0,1,0,0.6,3,1,0
S01C006M1_2LG,vuurwerk,CORRECTLY_READ,va vuurwerk,vuurwerk,0,0,v***uurwerk,vuurwerk,0.73,3,0,0,1.0,0,0,0
S01C006M1_2LG,appel,CORRECTLY_READ,appel,appel,0,0,appel,appel,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,cola,CORRECTLY_READ,cola,cola,0,0,cola,cola,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,kussen,CORRECTLY_READ,cussen,cussen,0,0,kussen,kussen,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,eerste,CORRECTLY_READ,eerste,eerste,0,0,eerste,eerste,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,circus,CORRECTLY_READ,circus,circus,0,0,circus,circus,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,kleuren,CORRECTLY_READ,kleuren,kleuren,0,0,kleuren,kleuren,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,voetbal,CORRECTLY_READ,voetbal,voetbal,0,0,voetbal,voetbal,1.0,0,0,0,1.0,0,0,0
S01C006M1_2LG,vlinder,CORRECTLY_READ,vliemder,vliemder,0,0,vli*nder,vli*nder,0.88,1,0,0,0.88,1,0,0
S01C006M1_3+4LG,omdraaien,CORRECTLY_READ,omdraaien,omdraaien,0,0,omdraaien,omdraaien,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,poppenwagen,CORRECTLY_READ,poppenwagen,poppenwagen,0,0,poppenwagen,poppenwagen,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,konijnenhok,CORRECTLY_READ,konijnenrok,konijnenrok,0,0,konijnenhok,konijnenhok,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,elastiekje,CORRECTLY_READ,ellastiekje,ellastiekje ruze maa,0,0,el*astiekje,e*lastiekj*****e****,0.91,1,0,0,0.5,10,0,0
S01C006M1_3+4LG,ruziemaken,CORRECTLY_READ,ruze maa ruzie maken,ruzie maken,0,0,ruz*********ie*maken,ruzie*maken,0.5,10,0,0,0.91,1,0,0
S01C006M1_3+4LG,teddybeer,CORRECTLY_READ,tet dib*erg,tet dibe*rg,0,0,ted*dybeer*,ted*dybeer*,0.73,2,1,0,0.73,2,1,0
S01C006M1_3+4LG,dierentuin,CORRECTLY_READ,dierentuin,dierentuin,0,0,dierentuin,dierentuin,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,paddenstoelen,CORRECTLY_READ,pandenstoelen,pandenstoelen,0,0,paddenstoelen,paddenstoelen,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,verstoppetje,CORRECTLY_READ,verstopperdje,verstopperdje,0,0,verstoppet*je,verstoppe*tje,0.92,1,0,0,0.92,1,0,0
S01C006M1_3+4LG,wasmachine,CORRECTLY_READ,wasmachine,wasmachine,0,0,wasmachine,wasmachine,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,fototoestel,CORRECTLY_READ,vototoestel,vototoestel do,0,0,fototoestel,fototoestel***,1.0,0,0,0,0.79,3,0,0
S01C006M1_3+4LG,toiletpapier,CORRECTLY_READ,do toonet papier,toonet papier,0,0,***toilet*papier,toilet*papier,0.75,4,0,0,0.92,1,0,0
S01C006M1_3+4LG,vrachtwagen,CORRECTLY_READ,vrachtwagen,vrachtwagen,0,0,vrachtwagen,vrachtwagen,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,buurmannen,CORRECTLY_READ,boeremannen,boeremannen,0,0,buur*mannen,buur*mannen,0.91,1,0,0,0.91,1,0,0
S01C006M1_3+4LG,vogelkooi,CORRECTLY_READ,vogelkooi,vogelkooi,0,0,vogelkooi,vogelkooi,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,olifant,CORRECTLY_READ,olifant,olifant,0,0,olifant,olifant,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,schommelen,CORRECTLY_READ,schho*melen,schhom*elen,0,0,sch*ommelen,sc*hommelen,0.82,1,1,0,0.82,1,1,0
S01C006M1_3+4LG,iedereen,CORRECTLY_READ,i* dev*en,i *deve*n,0,0,ie*dereen,i*edereen,0.67,1,2,0,0.67,1,2,0
S01C006M1_3+4LG,schoenenwinkel,e/25,scho**enwinkel,schoen**winkel,1,0,schoenenwinkel,schoenenwinkel,0.86,0,2,0,0.86,0,2,0
S01C006M1_3+4LG,knutselen,CORRECTLY_READ,knutselen,knutselen,0,0,knutselen,knutselen,1.0,0,0,0,1.0,0,0,0
S01C006M1_3+4LG,ophangen,CORRECTLY_READ,ophangen,ophangen verjaa,0,0,ophangen,ophangen*******,1.0,0,0,0,0.53,7,0,0
S01C006M1_3+4LG,verjaardag,CORRECTLY_READ,verjaa verjaardag,verjaardag,0,0,verjaa***r****dag,verjaardag,0.59,7,0,0,1.0,0,0,0
S01C006M1_3+4LG,sprookjesboek,CORRECTLY_READ,sp*oorkjesboek,sp*oorkjesboek,0,0,sproo*kjesboek,sproo*kjesboek,0.86,1,1,0,0.86,1,1,0
S01C006M1_3+4LG,tandenborstel,CORRECTLY_READ,tandenborstel,tandenborstel n,0,0,tandenborstel,tandenborstel**,1.0,0,0,0,0.87,2,0,0
